episode_reward,moving_avg
-45.24336922168732,-36.459884309768675
-59.55003833770752,-39.27473362237215
-36.48184314370155,-39.46551180928945
-31.36719672381878,-39.381131765246394
-52.39420431852341,-41.15273980647326
-54.98306828737259,-43.279033632576464
-47.307340532541275,-42.68565574735403
-54.54907414317131,-44.80757460296154
-28.879677072167397,-44.610716505348684
-32.47987875342369,-44.32356905341148
-50.745713621377945,-44.87380349338055
-54.698599725961685,-44.388659632205965
-45.25533112883568,-45.266008430719374
-56.68745529651642,-47.79803428798914
-52.31280991435051,-47.78989484757185
-29.89645567536354,-45.281233586370945
-27.306972295045853,-43.281196762621406
-37.02498050034046,-41.52878739833832
-57.49574714899063,-44.39039440602064
-43.923783242702484,-45.53478485494852
-58.595513075590134,-46.31976480036974
-39.91127775609493,-44.84103260338306
-32.61916482448578,-43.577415972948074
-40.66727101802826,-41.975397545099256
-79.34148296713829,-44.678264850378035
-44.991090059280396,-46.18772828876972
-54.595560759305954,-48.91658713519573
-56.647025018930435,-50.87879158705473
-48.97386360168457,-50.02660323232412
-50.18017357587814,-50.65224226564169
-54.22829905152321,-50.215520863235
-33.996214747428894,-49.624014562368394
-45.84669774770737,-50.94676785469055
-42.6914876550436,-51.149189518392085
-33.404293924570084,-46.55547061413527
-35.440406665205956,-45.60040227472782
-31.096321135759354,-43.25047831237316
-28.94336573779583,-40.4801123842597
-37.89093638956547,-39.37181966304779
-35.37061409652233,-37.89086371511221
-49.89701995253563,-37.45773580521345
-50.94904291629791,-39.153018622100355
-35.31475003063679,-38.09982385039329
-48.714608788490295,-38.702135963737966
-34.31987418234348,-38.793693989515305
-49.27635678648949,-40.17728900164366
-61.363485395908356,-43.20400542765856
-50.673473328351974,-45.37701618671417
-36.10125280916691,-45.19804782867432
-44.967355042696,-46.15772192329168
-29.001207008957863,-44.068140628933904
-35.79046259820461,-42.552282597124574
-37.243675634264946,-42.745175157487395
-59.10881295800209,-43.78459557443857
-30.303708001971245,-43.382978956401345
-57.15279930830002,-44.1706232085824
-35.5052300542593,-41.584797674417494
-56.06958469748497,-42.124408811330795
-35.070927545428276,-42.02137628495693
-34.200041234493256,-40.94464490413666
-59.32892578840256,-43.97741678208113
-50.69499161839485,-45.46786968410015
-81.01654532551765,-49.84515665322542
-33.202016189694405,-47.254476976394656
-31.60950316488743,-47.385056492686275
-53.223860532045364,-46.992162615060806
-35.720059126615524,-47.01364552229643
-53.21436929702759,-46.72812398225069
-57.81531110405922,-49.00256233811378
-34.22237579524517,-49.00479579418898
-35.09802995622158,-46.58170621097088
-53.81716325879097,-46.89392337501049
-32.04430761933327,-41.99669960439205
-44.22495374083519,-43.09899335950613
-56.234323889017105,-45.5614754319191
-30.500431686639786,-43.28913254737854
-57.165137112140656,-45.43364034593105
-35.44004926085472,-43.65620834231377
-31.72139123082161,-41.04681635499001
-28.84137524664402,-40.50871630012989
-55.84792682528496,-42.583705987036225
-28.35862408578396,-40.03785206973553
-39.74723860621452,-40.80814516842365
-37.19693146646023,-40.105342940986155
-54.46440243721008,-39.92835079580546
-30.556854411959648,-39.93399306833744
-37.29161715507507,-37.94664107263088
-47.73907618224621,-39.17654376477003
-40.4334577023983,-40.0477504119277
